active-immune-core	Up 31 minutes (healthy)
vertice-immunis-bcell	Up 44 minutes (healthy)
vertice-immunis-dendritic	Up 44 minutes (healthy)
vertice-immunis-neutrophil	Up 44 minutes (healthy)
vertice-immunis-helper-t	Up 44 minutes (healthy)
memory-consolidation-service	Up 44 minutes (healthy)
vertice-immunis-nk-cell	Up 44 minutes (healthy)
immunis-treg-service	Up 44 minutes (healthy)
vertice-immunis-cytotoxic-t	Up 44 minutes (healthy)
vertice-immunis-macrophage	Up 44 minutes (healthy)
adaptive-immunity-service	Up 44 minutes (healthy)
hcl-postgres	Up About an hour (healthy)
maximus-core	Up About an hour (healthy)
maximus-integration	Up 3 hours (healthy)
vertice-api-gateway	Up 3 hours (healthy)
maximus-orchestrator	Up 3 hours (healthy)
hcl-kb-service	Up About an hour (healthy)
vertice-hcl-analyzer	Up 3 hours (healthy)
ethical-audit	Up 3 hours (healthy)
vertice-osint	Up 3 hours (healthy)
vertice-auth	Up 3 hours (healthy)
vertice-chemical-sensing	Up 3 hours (healthy)
hcl-kafka	Up 3 hours (healthy)
autonomous-investigation-service	Up 3 hours (healthy)
vertice-hcl-planner	Up 3 hours (healthy)
vertice-ssl-monitor	Up 3 hours (healthy)
vertice-threat-intel	Up 3 hours (healthy)
vertice-strategic-planning	Up 3 hours (healthy)
maximus-network-monitor	Up 3 hours (healthy)
vertice-somatosensory	Up 3 hours (healthy)
vertice-social-eng	Up 3 hours (healthy)
vertice-seriema-graph	Up 3 hours (healthy)
maximus-postgres-immunity	Up 3 hours
vertice-hsas_service	Up 3 hours (healthy)
vertice-adr-core	Up 3 hours (healthy)
vertice-vestibular	Up 3 hours (healthy)
vertice-hcl-executor	Up 3 hours (healthy)
vertice-redis	Up 3 hours
vertice-reflex_triage_engine	Up 3 hours (healthy)
vertice-hcl-monitor	Up 3 hours (healthy)
vertice-sinesp	Up 3 hours (healthy)
predictive-threat-hunting-service	Up 3 hours (healthy)
vertice-visual-cortex	Up 3 hours (healthy)
vertice-atlas	Up 3 hours (healthy)
vertice-rte	Up 3 hours (healthy)
maximus-predict	Up 3 hours (healthy)
vertice-cloud-coordinator	Up 3 hours (healthy)
vertice-grafana	Up 3 hours
vertice-vuln-scanner	Up 3 hours (healthy)
vertice-nmap	Up 3 hours (healthy)
narrative-analysis-service	Up 3 hours (healthy)
maximus-zookeeper-immunity	Up 3 hours
vertice-offensive-tools	Up 3 hours (healthy)
vertice-malware-analysis	Up 3 hours (healthy)
rte-service	Up 3 hours (healthy)
vertice-ip-intel	Up 3 hours (healthy)
vertice-narrative-filter	Up 3 hours (healthy)
vertice-neuromodulation	Up 3 hours (healthy)
vertice-postgres	Up 3 hours
vertice-osint_service	Up 3 hours (healthy)
vertice-edge_agent_service	Up 3 hours (healthy)
vertice-auditory-cortex	Up 3 hours (healthy)
vertice-maximus_eureka	Up 3 hours (healthy)
vertice-rabbitmq	Up 3 hours (healthy)
vertice-cyber	Up 3 hours (healthy)
vertice-domain	Up 3 hours (healthy)
vertice-qdrant	Up 3 hours
vertice-hpc	Up 3 hours (healthy)
